linea,campo,mensaje
2,general,"SQLSTATE[HY093]: Invalid parameter number"
3,general,"SQLSTATE[HY093]: Invalid parameter number"
4,general,"SQLSTATE[HY093]: Invalid parameter number"
5,general,"SQLSTATE[HY093]: Invalid parameter number"
6,general,"SQLSTATE[HY093]: Invalid parameter number"
7,general,"SQLSTATE[HY093]: Invalid parameter number"
8,general,"SQLSTATE[HY093]: Invalid parameter number"
9,general,"SQLSTATE[HY093]: Invalid parameter number"
10,general,"SQLSTATE[HY093]: Invalid parameter number"
11,general,"SQLSTATE[HY093]: Invalid parameter number"
12,general,"SQLSTATE[HY093]: Invalid parameter number"
13,general,"SQLSTATE[HY093]: Invalid parameter number"
14,general,"SQLSTATE[HY093]: Invalid parameter number"
15,general,"SQLSTATE[HY093]: Invalid parameter number"
16,general,"SQLSTATE[HY093]: Invalid parameter number"
17,general,"SQLSTATE[HY093]: Invalid parameter number"
18,general,"SQLSTATE[HY093]: Invalid parameter number"
19,general,"SQLSTATE[HY093]: Invalid parameter number"
20,general,"SQLSTATE[HY093]: Invalid parameter number"
21,general,"SQLSTATE[HY093]: Invalid parameter number"
22,general,"SQLSTATE[HY093]: Invalid parameter number"
23,general,"SQLSTATE[HY093]: Invalid parameter number"
24,general,"SQLSTATE[HY093]: Invalid parameter number"
25,general,"SQLSTATE[HY093]: Invalid parameter number"
26,general,"SQLSTATE[HY093]: Invalid parameter number"
27,general,"SQLSTATE[HY093]: Invalid parameter number"
28,general,"SQLSTATE[HY093]: Invalid parameter number"
29,general,"SQLSTATE[HY093]: Invalid parameter number"
30,general,"SQLSTATE[HY093]: Invalid parameter number"
31,general,"SQLSTATE[HY093]: Invalid parameter number"
32,general,"SQLSTATE[HY093]: Invalid parameter number"
33,general,"SQLSTATE[HY093]: Invalid parameter number"
34,general,"SQLSTATE[HY093]: Invalid parameter number"
35,general,"SQLSTATE[HY093]: Invalid parameter number"
36,general,"SQLSTATE[HY093]: Invalid parameter number"
37,general,"SQLSTATE[HY093]: Invalid parameter number"
38,general,"SQLSTATE[HY093]: Invalid parameter number"
39,general,"SQLSTATE[HY093]: Invalid parameter number"
40,general,"SQLSTATE[HY093]: Invalid parameter number"
41,general,"SQLSTATE[HY093]: Invalid parameter number"
42,general,"SQLSTATE[HY093]: Invalid parameter number"
43,general,"SQLSTATE[HY093]: Invalid parameter number"
44,general,"SQLSTATE[HY093]: Invalid parameter number"
45,general,"SQLSTATE[HY093]: Invalid parameter number"
46,general,"SQLSTATE[HY093]: Invalid parameter number"
47,general,"SQLSTATE[HY093]: Invalid parameter number"
48,general,"SQLSTATE[HY093]: Invalid parameter number"
49,general,"SQLSTATE[HY093]: Invalid parameter number"
50,general,"SQLSTATE[HY093]: Invalid parameter number"
51,general,"SQLSTATE[HY093]: Invalid parameter number"
52,general,"SQLSTATE[HY093]: Invalid parameter number"
53,general,"SQLSTATE[HY093]: Invalid parameter number"
54,general,"SQLSTATE[HY093]: Invalid parameter number"
55,general,"SQLSTATE[HY093]: Invalid parameter number"
56,general,"SQLSTATE[HY093]: Invalid parameter number"
57,general,"SQLSTATE[HY093]: Invalid parameter number"
58,general,"SQLSTATE[HY093]: Invalid parameter number"
59,general,"SQLSTATE[HY093]: Invalid parameter number"
60,general,"SQLSTATE[HY093]: Invalid parameter number"
61,general,"SQLSTATE[HY093]: Invalid parameter number"
62,general,"SQLSTATE[HY093]: Invalid parameter number"
63,general,"SQLSTATE[HY093]: Invalid parameter number"
64,general,"SQLSTATE[HY093]: Invalid parameter number"
65,general,"SQLSTATE[HY093]: Invalid parameter number"
66,general,"SQLSTATE[HY093]: Invalid parameter number"
67,general,"SQLSTATE[HY093]: Invalid parameter number"
68,general,"SQLSTATE[HY093]: Invalid parameter number"
69,general,"SQLSTATE[HY093]: Invalid parameter number"
70,general,"SQLSTATE[HY093]: Invalid parameter number"
71,general,"SQLSTATE[HY093]: Invalid parameter number"
72,general,"SQLSTATE[HY093]: Invalid parameter number"
73,general,"SQLSTATE[HY093]: Invalid parameter number"
74,general,"SQLSTATE[HY093]: Invalid parameter number"
75,general,"SQLSTATE[HY093]: Invalid parameter number"
76,general,"SQLSTATE[HY093]: Invalid parameter number"
